contest-tmp2m-14d__tmp2m,index
29.460508616674577,375734
29.310484040846696,375735
29.366061652432318,375736
29.646929576386206,375737
29.642825740419195,375738
29.749299723646317,375739
29.454652214869316,375740
29.121833620891813,375741
28.944927343951026,375742
29.087978573921394,375743
29.17205568058953,375744
29.61662375206664,375745
29.378908335345177,375746
29.130836135892448,375747
28.86397301461773,375748
28.761463396750298,375749
28.360957834149872,375750
27.955408850948274,375751
27.79229133315375,375752
27.45486794378415,375753
27.3802228919608,375754
27.43244316403763,375755
26.86250091204765,375756
26.715481994756487,375757
26.361568386776362,375758
25.768634151329255,375759
25.5532505122012,375760
25.793617974274575,375761
25.250069580850347,375762
25.62309994929243,375763
25.114211221183503,375764
24.923850069776066,375765
25.14822656328753,375766
24.990108180947228,375767
24.96177134617556,375768
24.9401257154533,375769
24.64995366971285,375770
24.381643793472477,375771
24.33830016160558,375772
24.51094870526005,375773
24.433154040107013,375774
24.28138931698978,375775
24.58940069207758,375776
24.401032539532316,375777
24.13533547766142,375778
23.87500192162375,375779
23.607460025046244,375780
23.4635420773844,375781
23.60340357372349,375782
23.247557510787455,375783
22.936025509921976,375784
23.088222852163177,375785
23.234598892247142,375786
22.71371493321673,375787
22.22867637219809,375788
22.276641023176893,375789
21.76797134600862,375790
21.32730317981262,375791
20.823080714302897,375792
20.19200954450769,375793
19.889066054259935,375794
29.486450969098332,375795
29.351983273302736,375796
29.45158228828959,375797
29.624222923531,375798
29.71473596153475,375799
29.07841245768747,375800
28.787240544341348,375801
28.11722311552452,375802
28.032171736466747,375803
28.168739070829105,375804
28.130683085540117,375805
28.591601485431532,375806
28.63877880015883,375807
28.514750303554038,375808
28.29334928355501,375809
28.029047094388975,375810
27.895140140221898,375811
27.59994183801909,375812
27.370982159014353,375813
27.125166020736017,375814
27.00834869216211,375815
27.291959787669125,375816
27.051386812369017,375817
26.711440033821994,375818
26.34418920355523,375819
26.042211658369837,375820
25.71193091331164,375821
25.445906033271914,375822
25.45424042323027,375823
25.321704673911754,375824
25.259019310314013,375825
25.093380121102225,375826
25.276114425065252,375827
25.015992332018186,375828
25.079865115227378,375829
24.9576744431753,375830
24.87987437009977,375831
24.586604003379808,375832
24.418924235274112,375833
24.64909051742515,375834
24.63302787560298,375835
24.575883043897505,375836
24.840453700411715,375837
24.629926290077975,375838
24.38861074166983,375839
24.012885849735287,375840
23.734006819958037,375841
23.609197744714038,375842
23.425020484012997,375843
22.951858612593266,375844
22.691180203703656,375845
22.9449073710785,375846
23.324436182996287,375847
22.983808702395415,375848
22.731838780102223,375849
22.23167203617248,375850
21.536104274133336,375851
21.227476111228647,375852
20.639639394053155,375853
20.37436941682953,375854
20.19773511580357,375855
29.576369221389793,375856
29.333982533476348,375857
29.291763469107728,375858
29.399895499350805,375859
29.46035236735427,375860
29.535267792477345,375861
29.30233382057836,375862
28.902072402963878,375863
28.703035961157013,375864
28.786066482076798,375865
28.898877235622706,375866
29.313189703818704,375867
29.074515543144226,375868
28.822436079972498,375869
28.379346052465973,375870
28.191620127409998,375871
27.765133895466775,375872
27.156845447706523,375873
26.975936572483246,375874
26.536256254348558,375875
26.881468168816742,375876
27.300187671140726,375877
27.052123226750506,375878
26.39332891177814,375879
25.684974344437336,375880
25.65159520579863,375881
25.52097336022107,375882
25.199262989274004,375883
24.99534763335902,375884
24.96973557700162,375885
24.863244491689088,375886
24.922654604362194,375887
25.05628509516891,375888
25.371897552332605,375889
25.131483811616327,375890
24.937203148088308,375891
24.846375890651977,375892
24.39708296011853,375893
24.769109972789046,375894
24.78139359550806,375895
24.644687387617722,375896
24.430060720081265,375897
24.762129564909632,375898
24.656138617761606,375899
24.44760318142496,375900
24.317556900857483,375901
24.142916540005757,375902
23.97528153242798,375903
23.515248829843298,375904
23.550417690544638,375905
23.488206474003903,375906
23.549521237592934,375907
23.587289288895676,375908
22.959239150693662,375909
22.341021293873197,375910
21.994816330618974,375911
21.622506676215846,375912
21.344906261042695,375913
20.37136729434266,375914
19.909554419177145,375915
18.64396701008168,375916
28.902461325670316,375917
28.8794266828501,375918
28.80352644732168,375919
28.910878965846635,375920
28.967764270884597,375921
28.932124741213414,375922
28.667948967111865,375923
28.003950485035052,375924
27.78171188612112,375925
27.92748717925372,375926
28.017613542980662,375927
28.568317548081946,375928
28.367137763298263,375929
28.04697230815346,375930
27.65353918171811,375931
27.53191891073552,375932
27.14445640215819,375933
26.803815525124335,375934
26.59538314336465,375935
26.184435645696638,375936
26.364489511672918,375937
26.825864551839906,375938
26.529204182080925,375939
26.068658931145848,375940
25.88939749100483,375941
25.342821139662153,375942
24.992504109675604,375943
24.606911760624453,375944
24.459693763223832,375945
24.346905705804268,375946
24.330038976610236,375947
24.16009804432943,375948
24.43709591201499,375949
24.52152241475028,375950
24.54008833669377,375951
24.346869727202403,375952
24.56036672072497,375953
24.00980867091404,375954
24.22698690150051,375955
24.255494310118923,375956
24.18894053674064,375957
23.94884158976614,375958
24.231482868183868,375959
24.133539560203197,375960
23.94900814004177,375961
23.769527904750937,375962
23.582344744720295,375963
23.248037469550503,375964
22.97264250108466,375965
22.621054543404636,375966
22.789268567317833,375967
23.0938602576684,375968
23.42816039988405,375969
23.00593255951002,375970
22.159210598108093,375971
21.805962265619993,375972
21.24786841375554,375973
21.047736494647708,375974
19.932803506999313,375975
19.792497143187262,375976
19.66913877084089,375977
28.831258714141565,375978
28.69849617654474,375979
28.777423977728915,375980
28.828930465063415,375981
28.834135182784355,375982
28.350471348182786,375983
28.049265232662844,375984
27.19155631320368,375985
27.258542027701,375986
27.324384899488056,375987
27.24838211617803,375988
27.80005229693077,375989
27.718433853021732,375990
27.521912974469544,375991
27.318671567460008,375992
26.935493674219792,375993
26.511164233306783,375994
25.97709859231906,375995
25.74872857546424,375996
25.47272714831019,375997
25.74945021393301,375998
26.21142073728684,375999
26.375326851557208,376000
25.936405243895543,376001
25.566121029711866,376002
25.50468995145551,376003
25.050840419801176,376004
24.78420581861583,376005
24.51231858404453,376006
24.42768546255094,376007
24.627798646377443,376008
24.459496547698393,376009
24.476641289366185,376010
24.702817033544534,376011
24.75806170491633,376012
24.630484823526167,376013
24.753349648596167,376014
24.229478413697812,376015
24.264788452370922,376016
24.360146047645408,376017
24.36083297328968,376018
24.118787867177446,376019
24.35697724198021,376020
24.323730655662672,376021
23.926755235384526,376022
23.8305711520486,376023
23.49191873105923,376024
23.3591148749696,376025
22.738907376255987,376026
22.426317789418043,376027
22.66679956038945,376028
22.353172216434253,376029
23.095963448997658,376030
22.317515449393603,376031
22.0113393380691,376032
22.054146725956212,376033
21.82196803016042,376034
20.80728933007521,376035
20.40199827951721,376036
20.0193141335376,376037
19.83216631867913,376038
29.335645590850653,376039
