contest-tmp2m-14d__tmp2m,index
29.49340019060775,375734
29.39537342026749,375735
29.429146026880844,375736
29.698837451212043,375737
29.686350775251444,375738
29.82996291629363,375739
29.557374935723463,375740
29.258387630083252,375741
29.052191061236908,375742
29.128972391881693,375743
29.294840068941966,375744
29.69792614671032,375745
29.451489191675215,375746
29.195258085652057,375747
28.97458034271532,375748
28.898028535745226,375749
28.526908688860964,375750
28.1114182986301,375751
27.84767892252647,375752
27.56346981650828,375753
27.45763799611328,375754
27.5498352682321,375755
27.125443105169193,375756
27.005018495267528,375757
26.774597695267378,375758
26.24622433348175,375759
25.949762007100407,375760
26.07457268971925,375761
25.685806152884304,375762
25.818748337460022,375763
25.448420430969808,375764
25.362224776779037,375765
25.575038215425536,375766
25.42558085743088,375767
25.377609296570938,375768
25.329381068749438,375769
24.790686009808514,375770
24.48322588507551,375771
24.478160573176396,375772
24.678165707298977,375773
24.665203811198687,375774
24.52957197105056,375775
24.705032152239948,375776
24.526121108361096,375777
24.26010796897603,375778
24.06785422370718,375779
23.834833814865135,375780
23.70340630353431,375781
23.802164796833495,375782
23.517562012769723,375783
23.12582313496052,375784
23.283692794609927,375785
23.30947250139795,375786
22.877559609288085,375787
22.465107048948084,375788
22.33777455927192,375789
21.8214722876345,375790
21.23673370490326,375791
20.72601783576642,375792
20.24574577341002,375793
19.901301983678977,375794
29.366958015404965,375795
29.24479069609707,375796
29.33380665270603,375797
29.483799384484396,375798
29.556858332559187,375799
29.11862163053748,375800
28.864504507747927,375801
28.334832899006813,375802
28.186522252575063,375803
28.253054254487598,375804
28.361956027004545,375805
28.734055503303047,375806
28.750287326248873,375807
28.600050897607453,375808
28.42207423481663,375809
28.20617605231496,375810
28.023915412303275,375811
27.752987507743732,375812
27.438205234393543,375813
27.235285434485913,375814
27.145547262919237,375815
27.396224802418192,375816
27.105684742657335,375817
26.753021680291607,375818
26.49558561021327,375819
26.184249107666744,375820
25.87986094336478,375821
25.58648200542535,375822
25.563871311397907,375823
25.407055149179634,375824
25.258283140785483,375825
25.214624221520825,375826
25.386373874248555,375827
25.161662505032357,375828
25.160631895203842,375829
25.050236612175834,375830
24.91060152363893,375831
24.578339114774312,375832
24.495844868897198,375833
24.72060996711704,375834
24.74643782270602,375835
24.69296817497874,375836
24.824466233781852,375837
24.631744587594376,375838
24.39146693033221,375839
24.110789828243654,375840
23.878922896071455,375841
23.758807844212424,375842
23.525773997622572,375843
23.20116059073545,375844
22.89274681214822,375845
23.02636903197785,375846
23.293646141543444,375847
23.012173782106476,375848
22.777341276625755,375849
22.182659545804135,375850
21.532174542186304,375851
21.096891301694278,375852
20.595749246674607,375853
20.38481173509122,375854
20.164676864387694,375855
29.54582658088838,375856
29.34489731628012,375857
29.32769882199113,375858
29.42930829638394,375859
29.44247714115678,375860
29.452025482688242,375861
29.259130279324285,375862
28.91068232575147,375863
28.675537343220064,375864
28.69438258481704,375865
28.875773780206888,375866
29.288758320627192,375867
29.038123557202912,375868
28.801242174620885,375869
28.367350403230088,375870
28.22022570295653,375871
27.85241616029842,375872
27.353103123209017,375873
27.14305950851415,375874
26.79484558745561,375875
26.865752846345547,375876
27.188293563096845,375877
27.073634162167735,375878
26.63669097890632,375879
25.960143910155207,375880
25.867485490952348,375881
25.706837285534874,375882
25.358353301781353,375883
25.25576128768725,375884
25.201829735444104,375885
25.166425723344958,375886
25.29485057077082,375887
25.47353595730427,375888
25.67968892429762,375889
